;02_FL100_2_1_1_1;02_FL100_2_2_1_1;02_FL100_2_3_1_1;02_FL100_2_4_1_1;02_FL100_2_5_1_1;02_FL100_2_6_1_1;02_FL100_2_7_1_1;02_FL100_2_8_1_1;02_FL100_2_9_1_1;02_FL100_2_10_1_1;02_FL100_2_11_1_1;02_FL100_2_12_1_1;02_FL100_2_13_1_1;02_FL100_2_14_1_1;02_FL100_2_15_1_1;02_FL100_2_16_1_1;02_FL100_2_17_1_1;02_FL100_2_18_1_1
7.0400000000e-05;1.0250128048e+00;1.0250667053e+00;1.0190804231e+00;1.0220387882e+00;1.0261102937e+00;1.0263457765e+00;1.0351776827e+00;1.0269686403e+00;1.0391326937e+00;1.0172606575e+00;1.0304562801e+00;1.0307058842e+00;1.0335194710e+00;1.0380386099e+00;1.0259102398e+00;1.0290065509e+00;1.0312415848e+00;1.0345496011e+00
7.6800000000e-05;1.0243143182e+00;1.0242644461e+00;1.0187612385e+00;1.0217379579e+00;1.0256595538e+00;1.0257079455e+00;1.0344655718e+00;1.0264194888e+00;1.0383726848e+00;1.0168420068e+00;1.0300638879e+00;1.0303593435e+00;1.0328348598e+00;1.0376914448e+00;1.0254333778e+00;1.0284262022e+00;1.0301360481e+00;1.0339009611e+00
8.3200000000e-05;1.0237178479e+00;1.0239707163e+00;1.0181160371e+00;1.0210107109e+00;1.0249937145e+00;1.0249082121e+00;1.0339414463e+00;1.0257187763e+00;1.0380279935e+00;1.0164897738e+00;1.0295586493e+00;1.0295141736e+00;1.0320487442e+00;1.0369442385e+00;1.0248069932e+00;1.0277013001e+00;1.0293552940e+00;1.0331111394e+00
8.9600000000e-05;1.0230060924e+00;1.0234658135e+00;1.0180250150e+00;1.0204891884e+00;1.0241550342e+00;1.0241960963e+00;1.0329227771e+00;1.0250375616e+00;1.0371852040e+00;1.0161342167e+00;1.0293152702e+00;1.0289590458e+00;1.0316526725e+00;1.0366816031e+00;1.0243779619e+00;1.0272215342e+00;1.0283780047e+00;1.0323681932e+00
9.6000000000e-05;1.0224555746e+00;1.0228508351e+00;1.0175269863e+00;1.0199738159e+00;1.0238223431e+00;1.0236652415e+00;1.0324541736e+00;1.0245904296e+00;1.0366554114e+00;1.0159175230e+00;1.0288298701e+00;1.0284925650e+00;1.0306667869e+00;1.0361440671e+00;1.0235650933e+00;1.0266655063e+00;1.0275197548e+00;1.0321192717e+00
1.0240000000e-04;1.0218374589e+00;1.0222630681e+00;1.0170456863e+00;1.0197165721e+00;1.0231567178e+00;1.0232592104e+00;1.0320504900e+00;1.0241108776e+00;1.0362982595e+00;1.0156801135e+00;1.0284658148e+00;1.0280904283e+00;1.0299912574e+00;1.0357396312e+00;1.0230446806e+00;1.0263151333e+00;1.0275593897e+00;1.0315649922e+00
1.1520000000e-04;1.0211394410e+00;1.0215663422e+00;1.0164823832e+00;1.0189453590e+00;1.0221163472e+00;1.0222849567e+00;1.0309067189e+00;1.0231257994e+00;1.0353387385e+00;1.0149251205e+00;1.0279183499e+00;1.0273084684e+00;1.0290250833e+00;1.0348767033e+00;1.0223280251e+00;1.0252022479e+00;1.0260659952e+00;1.0304364650e+00
1.2800000000e-04;1.0201238296e+00;1.0206958242e+00;1.0156153627e+00;1.0183251098e+00;1.0211685933e+00;1.0215340502e+00;1.0301070822e+00;1.0221204898e+00;1.0349382457e+00;1.0144543557e+00;1.0273611103e+00;1.0264666992e+00;1.0280675262e+00;1.0339697738e+00;1.0213460630e+00;1.0242895647e+00;1.0249819791e+00;1.0295800341e+00
1.4080000000e-04;1.0194020610e+00;1.0202256169e+00;1.0152362868e+00;1.0177554817e+00;1.0203553358e+00;1.0207212178e+00;1.0292079036e+00;1.0212147784e+00;1.0339161315e+00;1.0140822611e+00;1.0269111481e+00;1.0257452829e+00;1.0270791742e+00;1.0335112486e+00;1.0205843747e+00;1.0235111687e+00;1.0238932066e+00;1.0286544458e+00
1.5360000000e-04;1.0186829200e+00;1.0195204624e+00;1.0147843540e+00;1.0171601658e+00;1.0196668799e+00;1.0197929920e+00;1.0283697101e+00;1.0205755949e+00;1.0333390959e+00;1.0136752846e+00;1.0262084720e+00;1.0254036199e+00;1.0263036805e+00;1.0327629401e+00;1.0199687377e+00;1.0229988729e+00;1.0229810211e+00;1.0279389116e+00
