;04_DBD_3_1_1_1;04_DBD_3_2_1_1;04_DBD_3_3_1_1;04_DBD_3_4_1_1;04_DBD_3_5_1_1;04_DBD_3_6_1_1;04_DBD_3_7_1_1;04_DBD_3_8_1_1;04_DBD_3_9_1_1;04_DBD_3_10_1_1;04_DBD_3_11_1_1;04_DBD_3_12_1_1;04_DBD_3_13_1_1;04_DBD_3_14_1_1;04_DBD_3_15_1_1;04_DBD_3_16_1_1;04_DBD_3_17_1_1;04_DBD_3_18_1_1;04_DBD_3_19_1_1;04_DBD_3_20_1_1
6.4000000000e-05;1.0149245276e+00;1.0146769438e+00;1.0155634900e+00;1.0156949673e+00;1.0152912524e+00;1.0156974641e+00;1.0154798849e+00;1.0153982937e+00;1.0152226034e+00;1.0151363378e+00;1.0150787337e+00;1.0152856636e+00;1.0153776825e+00;1.0156077368e+00;1.0159410813e+00;1.0152887833e+00;1.0152419967e+00;1.0154362038e+00;1.0152753284e+00;1.0152039750e+00
7.0400000000e-05;1.0144946093e+00;1.0142594565e+00;1.0152573807e+00;1.0150358375e+00;1.0146240570e+00;1.0151599025e+00;1.0150753115e+00;1.0148835455e+00;1.0147344769e+00;1.0147686557e+00;1.0145876131e+00;1.0148878933e+00;1.0148317567e+00;1.0153379136e+00;1.0154212570e+00;1.0148076806e+00;1.0146380507e+00;1.0152712349e+00;1.0149123280e+00;1.0147998320e+00
7.6800000000e-05;1.0141630871e+00;1.0140550036e+00;1.0149510860e+00;1.0148409341e+00;1.0144235490e+00;1.0149190552e+00;1.0146376755e+00;1.0146444105e+00;1.0144473719e+00;1.0143950507e+00;1.0143400515e+00;1.0145999413e+00;1.0144492425e+00;1.0147318247e+00;1.0150660333e+00;1.0145020104e+00;1.0143422835e+00;1.0147669123e+00;1.0144455875e+00;1.0141902584e+00
8.3200000000e-05;1.0139919299e+00;1.0136001995e+00;1.0144999263e+00;1.0143510263e+00;1.0140451031e+00;1.0145607369e+00;1.0141129946e+00;1.0143807257e+00;1.0140392534e+00;1.0140195134e+00;1.0140472820e+00;1.0142180327e+00;1.0141617334e+00;1.0145569326e+00;1.0148153234e+00;1.0141592047e+00;1.0141529267e+00;1.0143012778e+00;1.0140620719e+00;1.0141483611e+00
8.9600000000e-05;1.0135295939e+00;1.0131961539e+00;1.0141009022e+00;1.0140833560e+00;1.0137788276e+00;1.0141318516e+00;1.0138391551e+00;1.0138973145e+00;1.0136764269e+00;1.0137600875e+00;1.0135226881e+00;1.0138924006e+00;1.0138815790e+00;1.0144565389e+00;1.0143665665e+00;1.0137503054e+00;1.0138259534e+00;1.0140704947e+00;1.0137758811e+00;1.0136985685e+00
9.6000000000e-05;1.0132336117e+00;1.0129180440e+00;1.0137694480e+00;1.0137747072e+00;1.0135067052e+00;1.0137732020e+00;1.0135932451e+00;1.0136647114e+00;1.0133549354e+00;1.0134128606e+00;1.0131424001e+00;1.0137014838e+00;1.0135801102e+00;1.0140386149e+00;1.0140961487e+00;1.0134324729e+00;1.0133684783e+00;1.0137780833e+00;1.0134627394e+00;1.0134962883e+00
1.0240000000e-04;1.0130066167e+00;1.0127328228e+00;1.0135650245e+00;1.0134631560e+00;1.0130965235e+00;1.0134737267e+00;1.0132957651e+00;1.0132890521e+00;1.0131816181e+00;1.0132268852e+00;1.0129778248e+00;1.0133859055e+00;1.0133198902e+00;1.0136558590e+00;1.0137839084e+00;1.0131414520e+00;1.0133018042e+00;1.0132918029e+00;1.0132412321e+00;1.0132678008e+00
1.1520000000e-04;1.0123281455e+00;1.0120960952e+00;1.0130147775e+00;1.0130481133e+00;1.0126524709e+00;1.0129678534e+00;1.0126668708e+00;1.0128560053e+00;1.0126313292e+00;1.0124778115e+00;1.0124806958e+00;1.0127128847e+00;1.0126074402e+00;1.0131472071e+00;1.0131991727e+00;1.0126225882e+00;1.0124564320e+00;1.0129019474e+00;1.0126035718e+00;1.0126633994e+00
1.2800000000e-04;1.0119387416e+00;1.0116675757e+00;1.0125286377e+00;1.0126004227e+00;1.0121054194e+00;1.0124519487e+00;1.0121339769e+00;1.0122796838e+00;1.0121067831e+00;1.0120153170e+00;1.0119931005e+00;1.0122250539e+00;1.0121446807e+00;1.0126814838e+00;1.0128906927e+00;1.0122388019e+00;1.0119827306e+00;1.0123192341e+00;1.0121670598e+00;1.0121184747e+00
1.4080000000e-04;1.0114697463e+00;1.0111974327e+00;1.0121075332e+00;1.0119734834e+00;1.0117482928e+00;1.0120511054e+00;1.0116971025e+00;1.0118352453e+00;1.0117570048e+00;1.0114821670e+00;1.0115670664e+00;1.0117129220e+00;1.0117942048e+00;1.0121427169e+00;1.0123789107e+00;1.0116814065e+00;1.0116592937e+00;1.0120093218e+00;1.0116957224e+00;1.0117522786e+00
