;01_R110_3_2_1_1;01_R110_3_4_1_1;01_R110_3_6_1_1;01_R110_3_8_1_1;01_R110_3_10_1_1;01_R110_3_12_1_1;01_R110_3_14_1_1;01_R110_3_16_1_1;01_R110_3_18_1_1;01_R110_3_20_1_1
2.3040000000e-04;1.0079637091e+00;1.0079753655e+00;1.0082155093e+00;1.0083539171e+00;1.0085162633e+00;1.0085770049e+00;1.0086882485e+00;1.0086046677e+00;1.0084267144e+00;1.0087522542e+00
2.5600000000e-04;1.0073280963e+00;1.0074657359e+00;1.0074409971e+00;1.0075118033e+00;1.0077123469e+00;1.0077485335e+00;1.0078725872e+00;1.0075100684e+00;1.0076874652e+00;1.0076315686e+00
2.8160000000e-04;1.0064086431e+00;1.0066832777e+00;1.0070028735e+00;1.0067425929e+00;1.0071191790e+00;1.0068097674e+00;1.0068997545e+00;1.0068072362e+00;1.0070958990e+00;1.0068918503e+00
3.0720000000e-04;1.0061916530e+00;1.0062963178e+00;1.0061236032e+00;1.0062754883e+00;1.0064694144e+00;1.0062181945e+00;1.0063722186e+00;1.0062396296e+00;1.0064498083e+00;1.0061678926e+00
3.3280000000e-04;1.0056279034e+00;1.0057030559e+00;1.0056255889e+00;1.0057678184e+00;1.0058831288e+00;1.0060006117e+00;1.0059265763e+00;1.0057144341e+00;1.0059261164e+00;1.0058104194e+00
3.5840000000e-04;1.0052122425e+00;1.0052844221e+00;1.0050174976e+00;1.0052709272e+00;1.0055057370e+00;1.0054600103e+00;1.0054040767e+00;1.0053336530e+00;1.0055588767e+00;1.0055215491e+00
3.8400000000e-04;1.0049404730e+00;1.0050127625e+00;1.0048496579e+00;1.0050944329e+00;1.0051028357e+00;1.0051409510e+00;1.0053151729e+00;1.0050397939e+00;1.0051522994e+00;1.0048904202e+00
4.0960000000e-04;1.0046933612e+00;1.0046042150e+00;1.0046393231e+00;1.0048765064e+00;1.0048034042e+00;1.0049245859e+00;1.0050969340e+00;1.0046879634e+00;1.0048947918e+00;1.0047920296e+00
4.6080000000e-04;1.0041709363e+00;1.0040148608e+00;1.0041860823e+00;1.0040076728e+00;1.0041781335e+00;1.0040757985e+00;1.0045847446e+00;1.0041856830e+00;1.0042887613e+00;1.0041298429e+00
5.1200000000e-04;1.0036462279e+00;1.0034196678e+00;1.0038295917e+00;1.0034265848e+00;1.0038887656e+00;1.0038173717e+00;1.0042570461e+00;1.0038381363e+00;1.0038710860e+00;1.0037105857e+00
