;04_DM100_14_1_1_1;04_DM100_14_2_1_1;04_DM100_14_3_1_1;04_DM100_14_4_1_1;04_DM100_14_5_1_1;04_DM100_14_6_1_1;04_DM100_14_7_1_1;04_DM100_14_8_1_1;04_DM100_14_9_1_1;04_DM100_14_10_1_1;04_DM100_14_11_1_1;04_DM100_14_12_1_1;04_DM100_14_13_1_1;04_DM100_14_14_1_1;04_DM100_14_15_1_1;04_DM100_14_16_1_1;04_DM100_14_17_1_1;04_DM100_14_18_1_1;04_DM100_14_19_1_1;04_DM100_14_20_1_1
1.6000000000e-05;1.0181932761e+00;1.0178460798e+00;1.0179236901e+00;1.0176958313e+00;1.0174152136e+00;1.0172153369e+00;1.0173497642e+00;1.0170498092e+00;1.0161078429e+00;1.0162849763e+00;1.0162180941e+00;1.0155664459e+00;1.0160406996e+00;1.0144739003e+00;1.0152685540e+00;1.0150914976e+00;1.0136044993e+00;1.0152630646e+00;1.0203478440e+00;1.0194094418e+00
1.7600000000e-05;1.0174260280e+00;1.0178653284e+00;1.0175328231e+00;1.0174607901e+00;1.0175878840e+00;1.0169849872e+00;1.0169128902e+00;1.0165837494e+00;1.0163112500e+00;1.0164687704e+00;1.0153725741e+00;1.0153432263e+00;1.0155149365e+00;1.0137530202e+00;1.0141327029e+00;1.0150884672e+00;1.0125599110e+00;1.0124554303e+00;1.0184370519e+00;1.0230802931e+00
1.9200000000e-05;1.0172590058e+00;1.0176542330e+00;1.0174358943e+00;1.0171620573e+00;1.0170794376e+00;1.0168699089e+00;1.0170017115e+00;1.0169674053e+00;1.0159046353e+00;1.0158935489e+00;1.0158269671e+00;1.0155267010e+00;1.0148282821e+00;1.0132533965e+00;1.0156824331e+00;1.0151638688e+00;1.0112989432e+00;1.0134429835e+00;1.0159675052e+00;1.0192345336e+00
2.0800000000e-05;1.0171078833e+00;1.0172394683e+00;1.0173252733e+00;1.0168263080e+00;1.0167149888e+00;1.0166513775e+00;1.0163030443e+00;1.0163515769e+00;1.0158728232e+00;1.0154108303e+00;1.0160023678e+00;1.0153924134e+00;1.0154206926e+00;1.0130911992e+00;1.0144899421e+00;1.0146053223e+00;1.0107618344e+00;1.0129214019e+00;1.0176686611e+00;1.0189394986e+00
2.2400000000e-05;1.0169955474e+00;1.0172561540e+00;1.0171014900e+00;1.0167526964e+00;1.0165526767e+00;1.0164973225e+00;1.0162489537e+00;1.0163603626e+00;1.0158335932e+00;1.0155400554e+00;1.0150718214e+00;1.0154616827e+00;1.0141400265e+00;1.0142758343e+00;1.0148077142e+00;1.0132222851e+00;1.0138318539e+00;1.0139705133e+00;1.0165860225e+00;1.0247626362e+00
2.4000000000e-05;1.0170308629e+00;1.0168987661e+00;1.0168082151e+00;1.0168750931e+00;1.0165603668e+00;1.0166962775e+00;1.0162367050e+00;1.0161511531e+00;1.0156612826e+00;1.0157989482e+00;1.0151682153e+00;1.0146939674e+00;1.0154328983e+00;1.0148069622e+00;1.0139605211e+00;1.0151601994e+00;1.0108793410e+00;1.0144040442e+00;1.0168453924e+00;1.0180653705e+00
2.5600000000e-05;1.0167956368e+00;1.0171964781e+00;1.0168400650e+00;1.0167192225e+00;1.0163536485e+00;1.0161964290e+00;1.0163255110e+00;1.0161421285e+00;1.0151708424e+00;1.0153804834e+00;1.0151341544e+00;1.0149597664e+00;1.0152387656e+00;1.0144536216e+00;1.0149133169e+00;1.0144949643e+00;1.0114941800e+00;1.0115134395e+00;1.0182372381e+00;1.0198133683e+00
2.8800000000e-05;1.0166164158e+00;1.0164032469e+00;1.0164295446e+00;1.0162578328e+00;1.0158865774e+00;1.0159574823e+00;1.0157923524e+00;1.0154063148e+00;1.0150878085e+00;1.0150499885e+00;1.0154473466e+00;1.0140493213e+00;1.0148233452e+00;1.0136564262e+00;1.0148765543e+00;1.0134627814e+00;1.0118477300e+00;1.0128100695e+00;1.0158275054e+00;1.0193598646e+00
3.2000000000e-05;1.0162267498e+00;1.0162262540e+00;1.0161616624e+00;1.0155255793e+00;1.0158285816e+00;1.0155332197e+00;1.0153956108e+00;1.0154677251e+00;1.0149841017e+00;1.0146213783e+00;1.0144477567e+00;1.0145574283e+00;1.0144387983e+00;1.0136751468e+00;1.0152411558e+00;1.0128833721e+00;1.0105133400e+00;1.0139795689e+00;1.0140513601e+00;1.0193940546e+00
3.5200000000e-05;1.0158865152e+00;1.0155758627e+00;1.0160500234e+00;1.0153126403e+00;1.0153182860e+00;1.0153363492e+00;1.0150844167e+00;1.0152656409e+00;1.0147813784e+00;1.0149747410e+00;1.0139282782e+00;1.0139915403e+00;1.0147245919e+00;1.0135202864e+00;1.0143718748e+00;1.0134357287e+00;1.0135744603e+00;1.0139324160e+00;1.0159719755e+00;1.0198910530e+00
3.8400000000e-05;1.0155022713e+00;1.0154556980e+00;1.0152408769e+00;1.0152035005e+00;1.0149316141e+00;1.0149454597e+00;1.0152138971e+00;1.0149548112e+00;1.0144821794e+00;1.0140836800e+00;1.0144538678e+00;1.0142001321e+00;1.0142127812e+00;1.0136161801e+00;1.0147304940e+00;1.0131070041e+00;1.0120752667e+00;1.0136713592e+00;1.0173039033e+00;1.0224310852e+00
4.1600000000e-05;1.0151875051e+00;1.0150389721e+00;1.0154716443e+00;1.0146738355e+00;1.0148595697e+00;1.0147046401e+00;1.0151146674e+00;1.0150392485e+00;1.0138460528e+00;1.0144577325e+00;1.0135925710e+00;1.0136523863e+00;1.0144341174e+00;1.0123623088e+00;1.0142830516e+00;1.0134082181e+00;1.0117607928e+00;1.0138415848e+00;1.0171222183e+00;1.0229116961e+00
4.4800000000e-05;1.0148254327e+00;1.0149939928e+00;1.0149301645e+00;1.0145226500e+00;1.0144092682e+00;1.0143355547e+00;1.0147031570e+00;1.0147499926e+00;1.0133951043e+00;1.0143265991e+00;1.0141332439e+00;1.0133338906e+00;1.0143046602e+00;1.0130734758e+00;1.0143082363e+00;1.0125870590e+00;1.0109514977e+00;1.0140118103e+00;1.0175361920e+00;1.0222779248e+00
4.8000000000e-05;1.0146157190e+00;1.0146130431e+00;1.0149214143e+00;1.0144215029e+00;1.0140776261e+00;1.0143446029e+00;1.0143260903e+00;1.0145250647e+00;1.0139564995e+00;1.0139650306e+00;1.0137293444e+00;1.0138084389e+00;1.0137439238e+00;1.0125854988e+00;1.0130643599e+00;1.0140632655e+00;1.0109797002e+00;1.0132114509e+00;1.0180908799e+00;1.0228022370e+00
5.1200000000e-05;1.0145967482e+00;1.0144436081e+00;1.0147366578e+00;1.0140970512e+00;1.0137996059e+00;1.0142770412e+00;1.0141689044e+00;1.0141510840e+00;1.0139251089e+00;1.0140056135e+00;1.0133210625e+00;1.0136314167e+00;1.0136619090e+00;1.0125148785e+00;1.0134438967e+00;1.0135732089e+00;1.0120428136e+00;1.0113850522e+00;1.0176941602e+00;1.0206170703e+00
5.7600000000e-05;1.0139089285e+00;1.0139838130e+00;1.0142552193e+00;1.0138145068e+00;1.0135491204e+00;1.0137826043e+00;1.0136779693e+00;1.0136812820e+00;1.0130628796e+00;1.0131446445e+00;1.0131566588e+00;1.0132959870e+00;1.0134957666e+00;1.0125673333e+00;1.0127081851e+00;1.0129563218e+00;1.0120121241e+00;1.0124955665e+00;1.0174718442e+00;1.0195734958e+00
6.4000000000e-05;1.0138611127e+00;1.0137357148e+00;1.0138829360e+00;1.0133149566e+00;1.0134234701e+00;1.0133054166e+00;1.0132802985e+00;1.0131207694e+00;1.0130049431e+00;1.0130196435e+00;1.0127510882e+00;1.0127616135e+00;1.0134839278e+00;1.0119732277e+00;1.0129478261e+00;1.0126676629e+00;1.0110228240e+00;1.0112491815e+00;1.0161633016e+00;1.0192318728e+00
7.0400000000e-05;1.0133733678e+00;1.0134339663e+00;1.0136551711e+00;1.0129977640e+00;1.0128687054e+00;1.0130858315e+00;1.0131371526e+00;1.0129635975e+00;1.0126013581e+00;1.0125920207e+00;1.0121624427e+00;1.0119483320e+00;1.0131604384e+00;1.0120816262e+00;1.0132749901e+00;1.0127182975e+00;1.0105737972e+00;1.0113460761e+00;1.0166170830e+00;1.0184013414e+00
7.6800000000e-05;1.0131219414e+00;1.0129983463e+00;1.0131331638e+00;1.0126235911e+00;1.0127445511e+00;1.0125819382e+00;1.0127889786e+00;1.0130298885e+00;1.0122644803e+00;1.0123746197e+00;1.0122683874e+00;1.0119867178e+00;1.0125316840e+00;1.0118269279e+00;1.0124958815e+00;1.0125366140e+00;1.0104489507e+00;1.0127818611e+00;1.0164028663e+00;1.0213618983e+00
8.3200000000e-05;1.0126672928e+00;1.0128019769e+00;1.0129477948e+00;1.0124315852e+00;1.0121463689e+00;1.0125675160e+00;1.0125060195e+00;1.0125611106e+00;1.0121919069e+00;1.0122513766e+00;1.0120205307e+00;1.0120592921e+00;1.0122462495e+00;1.0110642416e+00;1.0127999929e+00;1.0129456926e+00;1.0105931250e+00;1.0133628166e+00;1.0185541177e+00;1.0201844878e+00
8.9600000000e-05;1.0126105362e+00;1.0122867114e+00;1.0127542674e+00;1.0121478084e+00;1.0122618349e+00;1.0120816401e+00;1.0123840451e+00;1.0122031543e+00;1.0115415819e+00;1.0120706135e+00;1.0119703513e+00;1.0117154718e+00;1.0118975702e+00;1.0118663771e+00;1.0127466045e+00;1.0127268173e+00;1.0103499700e+00;1.0116493913e+00;1.0163099353e+00;1.0209108159e+00
9.6000000000e-05;1.0121452070e+00;1.0122060487e+00;1.0124175585e+00;1.0118750791e+00;1.0118174751e+00;1.0122041770e+00;1.0117328779e+00;1.0121309596e+00;1.0116943233e+00;1.0115491578e+00;1.0114845314e+00;1.0116799223e+00;1.0119755390e+00;1.0113997158e+00;1.0122271191e+00;1.0115525301e+00;1.0115026742e+00;1.0115257730e+00;1.0151989650e+00;1.0161444323e+00
1.0240000000e-04;1.0120454255e+00;1.0120177190e+00;1.0120957209e+00;1.0118896898e+00;1.0116013850e+00;1.0115758762e+00;1.0115479233e+00;1.0116024260e+00;1.0112694259e+00;1.0115280877e+00;1.0117230188e+00;1.0115788283e+00;1.0118949468e+00;1.0106441375e+00;1.0118354815e+00;1.0121859073e+00;1.0103138298e+00;1.0119009359e+00;1.0169074533e+00;1.0237810355e+00
1.1520000000e-04;1.0115983352e+00;1.0114870082e+00;1.0115371550e+00;1.0113321924e+00;1.0112453970e+00;1.0112752224e+00;1.0112709015e+00;1.0113609926e+00;1.0109354083e+00;1.0109573949e+00;1.0108497919e+00;1.0112903031e+00;1.0116069396e+00;1.0106859058e+00;1.0120320643e+00;1.0118849434e+00;1.0109500635e+00;1.0120041052e+00;1.0151531096e+00;1.0192534356e+00
1.2800000000e-04;1.0110912334e+00;1.0109925933e+00;1.0112544380e+00;1.0109167937e+00;1.0107527888e+00;1.0108120741e+00;1.0109720695e+00;1.0109146784e+00;1.0105139622e+00;1.0106904974e+00;1.0103820891e+00;1.0104560498e+00;1.0113753282e+00;1.0103404908e+00;1.0115885734e+00;1.0112922547e+00;1.0098701615e+00;1.0116491825e+00;1.0152311587e+00;1.0183428802e+00
1.4080000000e-04;1.0106885123e+00;1.0107402000e+00;1.0107295483e+00;1.0105198592e+00;1.0104073803e+00;1.0103397825e+00;1.0105032349e+00;1.0106238358e+00;1.0102600030e+00;1.0104551466e+00;1.0103123223e+00;1.0102643197e+00;1.0106762216e+00;1.0099424293e+00;1.0114614244e+00;1.0122084534e+00;1.0095190880e+00;1.0107994511e+00;1.0167178374e+00;1.0208355708e+00
1.5360000000e-04;1.0103187561e+00;1.0103211418e+00;1.0106404809e+00;1.0100372240e+00;1.0100724057e+00;1.0101441529e+00;1.0101895127e+00;1.0102846166e+00;1.0098824366e+00;1.0101525461e+00;1.0103575590e+00;1.0101389229e+00;1.0106206318e+00;1.0096590293e+00;1.0111130247e+00;1.0107680905e+00;1.0094329495e+00;1.0119112219e+00;1.0158589991e+00;1.0191828498e+00
1.6640000000e-04;1.0099412028e+00;1.0100010615e+00;1.0102777197e+00;1.0096390726e+00;1.0098952984e+00;1.0099802438e+00;1.0098328493e+00;1.0099561960e+00;1.0096008857e+00;1.0097858866e+00;1.0097934279e+00;1.0099811996e+00;1.0102348416e+00;1.0096046792e+00;1.0114278027e+00;1.0115723966e+00;1.0092888132e+00;1.0113472010e+00;1.0157917468e+00;1.0188199269e+00
