;06_mNG_2_1_1_1;06_mNG_2_2_1_1;06_mNG_2_3_1_1;06_mNG_2_4_1_1;06_mNG_2_5_1_1;06_mNG_2_6_1_1;06_mNG_2_7_1_1;06_mNG_2_8_1_1;06_mNG_2_9_1_1;06_mNG_2_10_1_1;06_mNG_2_11_1_1;06_mNG_2_12_1_1;06_mNG_2_13_1_1;06_mNG_2_14_1_1;06_mNG_2_15_1_1;06_mNG_2_16_1_1;06_mNG_2_17_1_1;06_mNG_2_18_1_1;06_mNG_2_19_1_1;06_mNG_2_20_1_1
4.4800000000e-05;1.0540378823e+00;1.0540193694e+00;1.0572492597e+00;1.0586707728e+00;1.0606741555e+00;1.0629091999e+00;1.0627951196e+00;1.0650149592e+00;1.0654830373e+00;1.0661591352e+00;1.0668389427e+00;1.0670538389e+00;1.0686364883e+00;1.0688298168e+00;1.0700326674e+00;1.0694764826e+00;1.0702273247e+00;1.0708387536e+00;1.0700623045e+00;1.0707390370e+00
4.8000000000e-05;1.0530069347e+00;1.0533554596e+00;1.0553292939e+00;1.0576012598e+00;1.0597027147e+00;1.0616398878e+00;1.0614820812e+00;1.0634652663e+00;1.0634869001e+00;1.0644007901e+00;1.0651602646e+00;1.0647822315e+00;1.0675224512e+00;1.0677780530e+00;1.0683113258e+00;1.0680945701e+00;1.0676488854e+00;1.0689364290e+00;1.0685135606e+00;1.0695474353e+00
5.1200000000e-05;1.0517983609e+00;1.0523798265e+00;1.0545981807e+00;1.0567635863e+00;1.0577901958e+00;1.0599726123e+00;1.0598533802e+00;1.0618081772e+00;1.0623120246e+00;1.0634641405e+00;1.0634193458e+00;1.0634868531e+00;1.0666389089e+00;1.0660712933e+00;1.0661777042e+00;1.0665505747e+00;1.0664986606e+00;1.0674755181e+00;1.0671526160e+00;1.0680965641e+00
5.7600000000e-05;1.0496570188e+00;1.0497502336e+00;1.0523007263e+00;1.0539342269e+00;1.0561311057e+00;1.0573014040e+00;1.0580153867e+00;1.0596410019e+00;1.0597922915e+00;1.0609461183e+00;1.0608979286e+00;1.0615117459e+00;1.0635734838e+00;1.0630061347e+00;1.0630810200e+00;1.0631502450e+00;1.0643684679e+00;1.0646459617e+00;1.0646647943e+00;1.0649738116e+00
6.4000000000e-05;1.0478807533e+00;1.0483323824e+00;1.0503997036e+00;1.0518187168e+00;1.0532849340e+00;1.0556319102e+00;1.0555663124e+00;1.0566159396e+00;1.0579693002e+00;1.0582472492e+00;1.0583401388e+00;1.0589457306e+00;1.0609295390e+00;1.0610069562e+00;1.0607852788e+00;1.0611269831e+00;1.0615864121e+00;1.0624340716e+00;1.0622771099e+00;1.0625782215e+00
7.0400000000e-05;1.0459317897e+00;1.0462869158e+00;1.0486663084e+00;1.0500316375e+00;1.0510075150e+00;1.0537245662e+00;1.0533697657e+00;1.0546593763e+00;1.0558661989e+00;1.0558087416e+00;1.0562674934e+00;1.0570211327e+00;1.0588658513e+00;1.0582055204e+00;1.0583660604e+00;1.0584582493e+00;1.0595343489e+00;1.0605154393e+00;1.0591412862e+00;1.0605570979e+00
7.6800000000e-05;1.0447020121e+00;1.0450888488e+00;1.0470194628e+00;1.0483120768e+00;1.0494733185e+00;1.0512300402e+00;1.0514540766e+00;1.0527958044e+00;1.0539512902e+00;1.0544239051e+00;1.0544021038e+00;1.0547969567e+00;1.0570219795e+00;1.0564808188e+00;1.0562120493e+00;1.0565748083e+00;1.0574184671e+00;1.0573262579e+00;1.0570886439e+00;1.0582857074e+00
8.3200000000e-05;1.0430569362e+00;1.0432232461e+00;1.0450755947e+00;1.0464301850e+00;1.0481233316e+00;1.0494760741e+00;1.0503513443e+00;1.0512286611e+00;1.0516046770e+00;1.0521969151e+00;1.0530791052e+00;1.0530016000e+00;1.0543049781e+00;1.0542271214e+00;1.0553550322e+00;1.0549346004e+00;1.0553008254e+00;1.0557961966e+00;1.0556154204e+00;1.0562843672e+00
8.9600000000e-05;1.0411744099e+00;1.0416633732e+00;1.0437922738e+00;1.0449609520e+00;1.0464381012e+00;1.0483627126e+00;1.0486408175e+00;1.0495554542e+00;1.0505960376e+00;1.0503537835e+00;1.0506172942e+00;1.0511110374e+00;1.0533686982e+00;1.0526706853e+00;1.0534670849e+00;1.0527151643e+00;1.0533547787e+00;1.0541077850e+00;1.0543498294e+00;1.0541905490e+00
9.6000000000e-05;1.0400608925e+00;1.0405290219e+00;1.0423415786e+00;1.0433233132e+00;1.0451895168e+00;1.0467381860e+00;1.0466042680e+00;1.0480354086e+00;1.0487538838e+00;1.0491464824e+00;1.0491710556e+00;1.0499524865e+00;1.0518360150e+00;1.0513121185e+00;1.0514798995e+00;1.0512176669e+00;1.0521860783e+00;1.0528799073e+00;1.0519417434e+00;1.0527940855e+00
1.0240000000e-04;1.0392097964e+00;1.0390903359e+00;1.0413907263e+00;1.0422579391e+00;1.0437840669e+00;1.0451544118e+00;1.0456183695e+00;1.0460920917e+00;1.0471600838e+00;1.0471429380e+00;1.0477804106e+00;1.0480604964e+00;1.0507353188e+00;1.0497181828e+00;1.0500658077e+00;1.0494788264e+00;1.0508358936e+00;1.0510890756e+00;1.0505829183e+00;1.0515550154e+00
1.1520000000e-04;1.0373944054e+00;1.0371460150e+00;1.0388092372e+00;1.0398186894e+00;1.0411643383e+00;1.0428633921e+00;1.0431216002e+00;1.0439524087e+00;1.0449074004e+00;1.0448222275e+00;1.0450641697e+00;1.0458607371e+00;1.0472468242e+00;1.0468929447e+00;1.0473976724e+00;1.0466525184e+00;1.0478843671e+00;1.0486259479e+00;1.0474654753e+00;1.0486376150e+00
1.2800000000e-04;1.0351671013e+00;1.0350185925e+00;1.0369080298e+00;1.0380647955e+00;1.0391518223e+00;1.0404504948e+00;1.0411960906e+00;1.0417447343e+00;1.0428045643e+00;1.0424010547e+00;1.0423174660e+00;1.0435952939e+00;1.0448047159e+00;1.0443558766e+00;1.0447713157e+00;1.0445513678e+00;1.0449718851e+00;1.0460484857e+00;1.0450554078e+00;1.0458458574e+00
1.4080000000e-04;1.0336454619e+00;1.0334806380e+00;1.0354940180e+00;1.0359461170e+00;1.0370339138e+00;1.0388951012e+00;1.0385438618e+00;1.0396505888e+00;1.0401331935e+00;1.0398936629e+00;1.0403377176e+00;1.0411121806e+00;1.0424664009e+00;1.0421004434e+00;1.0423586281e+00;1.0420082149e+00;1.0427635786e+00;1.0437109626e+00;1.0429312105e+00;1.0436521897e+00
1.5360000000e-04;1.0319136669e+00;1.0321719636e+00;1.0334522939e+00;1.0340568920e+00;1.0352232601e+00;1.0368914744e+00;1.0370298634e+00;1.0375917587e+00;1.0386482899e+00;1.0380047663e+00;1.0384994824e+00;1.0394321842e+00;1.0407820359e+00;1.0404700970e+00;1.0408817664e+00;1.0402435191e+00;1.0410663249e+00;1.0418539571e+00;1.0410104732e+00;1.0413024033e+00
1.6640000000e-04;1.0307375163e+00;1.0302013780e+00;1.0321054343e+00;1.0323707998e+00;1.0336880429e+00;1.0349944241e+00;1.0353911962e+00;1.0358994663e+00;1.0366412601e+00;1.0364637112e+00;1.0370308211e+00;1.0376764385e+00;1.0389079430e+00;1.0385770729e+00;1.0386361370e+00;1.0383320394e+00;1.0390834113e+00;1.0396181584e+00;1.0390833906e+00;1.0395633811e+00
