;05_DP_3_1_1_1;05_DP_3_2_1_1;05_DP_3_3_1_1;05_DP_3_4_1_1;05_DP_3_5_1_1;05_DP_3_6_1_1;05_DP_3_7_1_1;05_DP_3_8_1_1;05_DP_3_9_1_1;05_DP_3_10_1_1;05_DP_3_11_1_1;05_DP_3_12_1_1;05_DP_3_13_1_1;05_DP_3_14_1_1;05_DP_3_15_1_1;05_DP_3_16_1_1;05_DP_3_17_1_1;05_DP_3_18_1_1;05_DP_3_19_1_1;05_DP_3_20_1_1
2.2400000000e-05;1.0519663033e+00;1.0528435638e+00;1.0518750540e+00;1.0532839913e+00;1.0532037355e+00;1.0549182084e+00;1.0540843236e+00;1.0548318926e+00;1.0552077048e+00;1.0561013181e+00;1.0568819035e+00;1.0576077737e+00;1.0566213111e+00;1.0589153676e+00;1.0583634286e+00;1.0584613858e+00;1.0594205640e+00;1.0599980703e+00;1.0596554949e+00;1.0591955974e+00
2.4000000000e-05;1.0511890310e+00;1.0519530699e+00;1.0518351234e+00;1.0526383825e+00;1.0525686103e+00;1.0541332197e+00;1.0533158614e+00;1.0540933659e+00;1.0543877863e+00;1.0551523679e+00;1.0563375804e+00;1.0566538424e+00;1.0562459612e+00;1.0573188012e+00;1.0574047538e+00;1.0578710404e+00;1.0593036146e+00;1.0596755500e+00;1.0598464488e+00;1.0589718394e+00
2.5600000000e-05;1.0502521414e+00;1.0511974957e+00;1.0510673068e+00;1.0515418017e+00;1.0518914127e+00;1.0530462085e+00;1.0523806925e+00;1.0532171914e+00;1.0537669851e+00;1.0551229690e+00;1.0544228495e+00;1.0558023950e+00;1.0552012298e+00;1.0569319079e+00;1.0567194686e+00;1.0572756298e+00;1.0571632057e+00;1.0578063792e+00;1.0588654582e+00;1.0584935477e+00
2.8800000000e-05;1.0495009816e+00;1.0500521477e+00;1.0495274133e+00;1.0506484676e+00;1.0509081258e+00;1.0515828152e+00;1.0518035225e+00;1.0520483516e+00;1.0526849077e+00;1.0532797004e+00;1.0536355423e+00;1.0544925144e+00;1.0542025851e+00;1.0557117680e+00;1.0550958409e+00;1.0554961579e+00;1.0566014583e+00;1.0567548055e+00;1.0566164552e+00;1.0567425152e+00
3.2000000000e-05;1.0485927789e+00;1.0487781685e+00;1.0487847380e+00;1.0496624613e+00;1.0498204177e+00;1.0511382735e+00;1.0503693353e+00;1.0509122685e+00;1.0511035642e+00;1.0517690172e+00;1.0527748487e+00;1.0533610810e+00;1.0526247815e+00;1.0539698437e+00;1.0543463761e+00;1.0543695990e+00;1.0546573947e+00;1.0558160165e+00;1.0556392636e+00;1.0557211115e+00
3.5200000000e-05;1.0472671346e+00;1.0476903610e+00;1.0475855284e+00;1.0488116617e+00;1.0488403345e+00;1.0501856810e+00;1.0493721253e+00;1.0498300530e+00;1.0501756217e+00;1.0506587868e+00;1.0516346870e+00;1.0520957768e+00;1.0514393128e+00;1.0529603259e+00;1.0532192020e+00;1.0530606806e+00;1.0539209570e+00;1.0542175604e+00;1.0545785476e+00;1.0542345381e+00
3.8400000000e-05;1.0462976249e+00;1.0469406992e+00;1.0467013640e+00;1.0476088675e+00;1.0477431408e+00;1.0488270526e+00;1.0483390041e+00;1.0488982603e+00;1.0492111364e+00;1.0497276726e+00;1.0506033201e+00;1.0509818979e+00;1.0510146289e+00;1.0518766738e+00;1.0522391164e+00;1.0520253498e+00;1.0527126860e+00;1.0531956486e+00;1.0537101683e+00;1.0529913525e+00
4.1600000000e-05;1.0456778613e+00;1.0459567667e+00;1.0455098261e+00;1.0460086847e+00;1.0470010164e+00;1.0480556915e+00;1.0473948435e+00;1.0476014602e+00;1.0482161968e+00;1.0485993458e+00;1.0494522280e+00;1.0502973660e+00;1.0496668098e+00;1.0507645431e+00;1.0508909181e+00;1.0515842350e+00;1.0517411585e+00;1.0521248767e+00;1.0526618810e+00;1.0518860715e+00
4.4800000000e-05;1.0448209771e+00;1.0449769869e+00;1.0448498116e+00;1.0455977578e+00;1.0456612739e+00;1.0473952496e+00;1.0468508814e+00;1.0470362514e+00;1.0478222529e+00;1.0481415970e+00;1.0486202617e+00;1.0494954073e+00;1.0489476121e+00;1.0501485287e+00;1.0500657557e+00;1.0497985152e+00;1.0511814254e+00;1.0510137191e+00;1.0516764160e+00;1.0510488829e+00
4.8000000000e-05;1.0441847478e+00;1.0447838243e+00;1.0441472968e+00;1.0449265108e+00;1.0454876736e+00;1.0463066773e+00;1.0454397025e+00;1.0459486085e+00;1.0469836679e+00;1.0470292434e+00;1.0479298673e+00;1.0488516480e+00;1.0477341779e+00;1.0486673674e+00;1.0490201979e+00;1.0491119746e+00;1.0500267272e+00;1.0504680770e+00;1.0506984293e+00;1.0503565747e+00
5.1200000000e-05;1.0432419139e+00;1.0435098431e+00;1.0433298412e+00;1.0441194336e+00;1.0445960248e+00;1.0453028895e+00;1.0452197696e+00;1.0453169661e+00;1.0460788918e+00;1.0459773137e+00;1.0467514562e+00;1.0474372458e+00;1.0472773538e+00;1.0480494542e+00;1.0482372663e+00;1.0483125985e+00;1.0491948975e+00;1.0491618461e+00;1.0498151879e+00;1.0494044135e+00
5.7600000000e-05;1.0420470212e+00;1.0418788146e+00;1.0420470182e+00;1.0424714601e+00;1.0431835614e+00;1.0439384249e+00;1.0438237086e+00;1.0440232188e+00;1.0442549306e+00;1.0448307846e+00;1.0453922012e+00;1.0461415114e+00;1.0453391001e+00;1.0465166117e+00;1.0467825502e+00;1.0467265859e+00;1.0476726067e+00;1.0477215304e+00;1.0480072020e+00;1.0477580218e+00
6.4000000000e-05;1.0407020100e+00;1.0408032248e+00;1.0404879142e+00;1.0412071046e+00;1.0417296851e+00;1.0427085941e+00;1.0424681309e+00;1.0422903416e+00;1.0431990696e+00;1.0431637974e+00;1.0436777315e+00;1.0443688329e+00;1.0439723842e+00;1.0454079274e+00;1.0451304761e+00;1.0454207137e+00;1.0457730827e+00;1.0464095718e+00;1.0465046543e+00;1.0461369293e+00
7.0400000000e-05;1.0393845978e+00;1.0401897489e+00;1.0393909577e+00;1.0399999112e+00;1.0405117041e+00;1.0412051529e+00;1.0411051771e+00;1.0411698273e+00;1.0416395980e+00;1.0421705873e+00;1.0426612229e+00;1.0431350530e+00;1.0427096182e+00;1.0437337545e+00;1.0438052403e+00;1.0441399268e+00;1.0447405502e+00;1.0447006902e+00;1.0448414916e+00;1.0449515361e+00
7.6800000000e-05;1.0383094609e+00;1.0388175449e+00;1.0379809429e+00;1.0386100610e+00;1.0392467749e+00;1.0399540507e+00;1.0396697392e+00;1.0400570063e+00;1.0406432257e+00;1.0409292438e+00;1.0414225478e+00;1.0419820088e+00;1.0412298716e+00;1.0424995918e+00;1.0426512066e+00;1.0427814682e+00;1.0435185696e+00;1.0435615501e+00;1.0436613311e+00;1.0436588982e+00
8.3200000000e-05;1.0373786900e+00;1.0377333232e+00;1.0369703661e+00;1.0377240496e+00;1.0380358071e+00;1.0389889803e+00;1.0389051122e+00;1.0388451275e+00;1.0393862411e+00;1.0396027897e+00;1.0399675992e+00;1.0412856222e+00;1.0403842875e+00;1.0415272636e+00;1.0415189661e+00;1.0416997049e+00;1.0420708180e+00;1.0424802675e+00;1.0425776549e+00;1.0422729324e+00
8.9600000000e-05;1.0362839508e+00;1.0367149042e+00;1.0361735777e+00;1.0370163736e+00;1.0374098645e+00;1.0380941355e+00;1.0376863982e+00;1.0377927900e+00;1.0382780918e+00;1.0386834133e+00;1.0390473647e+00;1.0396051011e+00;1.0391367377e+00;1.0406229192e+00;1.0403079595e+00;1.0402621171e+00;1.0409443955e+00;1.0414761313e+00;1.0415438728e+00;1.0414376421e+00
9.6000000000e-05;1.0352382135e+00;1.0357080152e+00;1.0351511416e+00;1.0356865949e+00;1.0363534422e+00;1.0368176790e+00;1.0364407132e+00;1.0369725609e+00;1.0373131746e+00;1.0374287013e+00;1.0383513814e+00;1.0388175016e+00;1.0382459042e+00;1.0394543295e+00;1.0392966238e+00;1.0390664600e+00;1.0401954799e+00;1.0401504000e+00;1.0403573311e+00;1.0402025364e+00
1.0240000000e-04;1.0344586731e+00;1.0347224496e+00;1.0341863157e+00;1.0345463719e+00;1.0352701118e+00;1.0356946054e+00;1.0359436030e+00;1.0356450107e+00;1.0365687083e+00;1.0365831259e+00;1.0370561045e+00;1.0381161904e+00;1.0368943758e+00;1.0384065602e+00;1.0380010632e+00;1.0383729425e+00;1.0390244093e+00;1.0391345602e+00;1.0392718099e+00;1.0394115108e+00
1.1520000000e-04;1.0330626883e+00;1.0331197700e+00;1.0325258517e+00;1.0331198997e+00;1.0335949053e+00;1.0343074755e+00;1.0341822273e+00;1.0342747815e+00;1.0347672768e+00;1.0349717710e+00;1.0354950422e+00;1.0359951836e+00;1.0352236456e+00;1.0365835382e+00;1.0365062758e+00;1.0367142412e+00;1.0373171606e+00;1.0375998251e+00;1.0374187057e+00;1.0373992618e+00
1.2800000000e-04;1.0315658802e+00;1.0317254335e+00;1.0310672696e+00;1.0317276884e+00;1.0321770012e+00;1.0328607287e+00;1.0325823858e+00;1.0325733680e+00;1.0332330084e+00;1.0333047369e+00;1.0338740954e+00;1.0348094640e+00;1.0338462715e+00;1.0350265401e+00;1.0348600455e+00;1.0351860484e+00;1.0355009786e+00;1.0358405248e+00;1.0356117898e+00;1.0358269129e+00
1.4080000000e-04;1.0303104720e+00;1.0303624647e+00;1.0297475559e+00;1.0302427663e+00;1.0308053692e+00;1.0316740671e+00;1.0311586299e+00;1.0311927785e+00;1.0316242991e+00;1.0320713230e+00;1.0324735750e+00;1.0329477363e+00;1.0322516865e+00;1.0334742478e+00;1.0334566873e+00;1.0336636841e+00;1.0340778276e+00;1.0345493338e+00;1.0341854033e+00;1.0343752345e+00
