;03_DM100_2_1_1_1;03_DM100_2_2_1_1;03_DM100_2_3_1_1;03_DM100_2_4_1_1;03_DM100_2_5_1_1;03_DM100_2_6_1_1;03_DM100_2_7_1_1;03_DM100_2_8_1_1;03_DM100_2_9_1_1;03_DM100_2_10_1_1;03_DM100_2_11_1_1;03_DM100_2_12_1_1;03_DM100_2_13_1_1;03_DM100_2_14_1_1;03_DM100_2_15_1_1;03_DM100_2_16_1_1;03_DM100_2_17_1_1;03_DM100_2_18_1_1
2.2400000000e-05;1.0205974705e+00;1.0209467322e+00;1.0209080337e+00;1.0210360391e+00;1.0209332512e+00;1.0211556444e+00;1.0212270333e+00;1.0209892935e+00;1.0215320423e+00;1.0216013769e+00;1.0213460159e+00;1.0212165550e+00;1.0210266277e+00;1.0210904557e+00;1.0212333787e+00;1.0210867941e+00;1.0212418870e+00;1.0207579881e+00
2.4000000000e-05;1.0204148593e+00;1.0206990423e+00;1.0205288268e+00;1.0209108155e+00;1.0205848064e+00;1.0207140339e+00;1.0206968614e+00;1.0210336402e+00;1.0217918594e+00;1.0214950005e+00;1.0211895889e+00;1.0208216876e+00;1.0207803297e+00;1.0207215954e+00;1.0208144662e+00;1.0207202842e+00;1.0209345933e+00;1.0204034824e+00
2.5600000000e-05;1.0201455787e+00;1.0203455434e+00;1.0204117126e+00;1.0203860790e+00;1.0204532998e+00;1.0205557494e+00;1.0205701599e+00;1.0206353890e+00;1.0212717316e+00;1.0213271054e+00;1.0208005903e+00;1.0207980439e+00;1.0205399965e+00;1.0204167170e+00;1.0206982562e+00;1.0202812349e+00;1.0206811584e+00;1.0203878570e+00
2.8800000000e-05;1.0196776040e+00;1.0199586384e+00;1.0198761326e+00;1.0200449909e+00;1.0198646565e+00;1.0202467371e+00;1.0200718266e+00;1.0200810792e+00;1.0207868806e+00;1.0207729410e+00;1.0202158725e+00;1.0202625651e+00;1.0201719084e+00;1.0201197284e+00;1.0202023987e+00;1.0202078899e+00;1.0202281744e+00;1.0196606334e+00
3.2000000000e-05;1.0191535458e+00;1.0193066474e+00;1.0194996163e+00;1.0196518174e+00;1.0193440894e+00;1.0197648620e+00;1.0199062297e+00;1.0198967604e+00;1.0204861791e+00;1.0202257714e+00;1.0198899442e+00;1.0198480462e+00;1.0197534013e+00;1.0195960114e+00;1.0196835207e+00;1.0197243973e+00;1.0199109801e+00;1.0194859631e+00
3.5200000000e-05;1.0188997984e+00;1.0191548253e+00;1.0192406565e+00;1.0192802821e+00;1.0190472793e+00;1.0193707855e+00;1.0193328035e+00;1.0193875174e+00;1.0200315292e+00;1.0200581186e+00;1.0194753145e+00;1.0195934611e+00;1.0191640227e+00;1.0192152655e+00;1.0193605060e+00;1.0192538654e+00;1.0195567451e+00;1.0190388696e+00
3.8400000000e-05;1.0185251914e+00;1.0187889013e+00;1.0186566373e+00;1.0189543221e+00;1.0187658947e+00;1.0189386824e+00;1.0188802414e+00;1.0190528481e+00;1.0195257312e+00;1.0196120002e+00;1.0192168630e+00;1.0190155017e+00;1.0190792933e+00;1.0186826761e+00;1.0189589057e+00;1.0188731957e+00;1.0190533589e+00;1.0186952229e+00
4.1600000000e-05;1.0182586910e+00;1.0184592473e+00;1.0185674336e+00;1.0187128152e+00;1.0182471199e+00;1.0187290657e+00;1.0184808161e+00;1.0187861190e+00;1.0192650678e+00;1.0193228245e+00;1.0190251271e+00;1.0190147738e+00;1.0187287491e+00;1.0186351513e+00;1.0186461892e+00;1.0185677316e+00;1.0187613701e+00;1.0184883605e+00
4.4800000000e-05;1.0179197035e+00;1.0181198909e+00;1.0181376470e+00;1.0184687175e+00;1.0180439160e+00;1.0184302657e+00;1.0183142818e+00;1.0184678027e+00;1.0191361431e+00;1.0189246459e+00;1.0184749071e+00;1.0184040729e+00;1.0182917584e+00;1.0181183971e+00;1.0182920592e+00;1.0182559631e+00;1.0184383095e+00;1.0180530854e+00
4.8000000000e-05;1.0175082957e+00;1.0178200827e+00;1.0177649032e+00;1.0177652625e+00;1.0177734297e+00;1.0179860506e+00;1.0179848581e+00;1.0179432329e+00;1.0187874829e+00;1.0186973425e+00;1.0181682939e+00;1.0182381183e+00;1.0177776201e+00;1.0178857280e+00;1.0180590198e+00;1.0179391094e+00;1.0182044069e+00;1.0178883752e+00
